name	x	y	z	size	hemisphere	Johnson_Lobe	Johnson_atlas_code	Johnson_atlas_text
F01	6.514369696	35.3889224	6.585501	2.010619298	R	n/a	n/a	n/a
F02	6.617219824	34.16550386	8.564997233	2.010619298	R	n/a	n/a	n/a
F03	6.450778816	32.43000895	10.57752348	2.010619298	R	n/a	n/a	n/a
F04	5.828976039	30.53810875	11.64984662	2.010619298	R	n/a	n/a	n/a
F05	5.207173262	28.64620855	12.72216976	2.010619298	R	n/a	n/a	n/a
F06	4.64725934	26.21969137	13.57958519	2.010619298	R	n/a	n/a	n/a
F07	9.51546168	34.99157507	6.476157434	2.010619298	R	n/a	n/a	n/a
F08	9.908092156	33.78591323	8.494931653	2.010619298	R	n/a	n/a	n/a
F09	10.07283114	32.02787771	10.25952017	2.010619298	R	n/a	n/a	n/a
F10	10.03058906	30.1714909	11.41039929	2.010619298	R	n/a	n/a	n/a
F11	10.09163548	27.74018981	12.05915498	2.010619298	R	n/a	n/a	n/a
F12	10.19408154	25.26859143	12.42069496	2.010619298	R	n/a	n/a	n/a
O01	11.50748006	-1.326319857	16.93903618	2.010619298	R	n/a	n/a	n/a
O02	11.69481434	1.163035225	16.61677418	2.010619298	R	n/a	n/a	n/a
O03	11.88214863	3.652390307	16.29451218	2.010619298	R	n/a	n/a	n/a
O04	12.06948292	6.141745389	15.97225019	2.010619298	R	n/a	n/a	n/a
O05	12.0084365	8.573046476	15.32349449	2.010619298	R	n/a	n/a	n/a
O06	8.733858347	-1.324940912	17.73439714	2.010619298	R	n/a	n/a	n/a
O07	8.548613001	1.227252074	17.94728858	2.010619298	R	n/a	n/a	n/a
O08	8.114986949	3.721391065	17.83368632	2.010619298	R	n/a	n/a	n/a
O09	7.681360897	6.215530057	17.72008406	2.010619298	R	n/a	n/a	n/a
O10	7.537515193	8.727425743	17.64575979	2.010619298	R	n/a	n/a	n/a
T01	20.05962357	6.508815631	9.302697398	2.010619298	R	n/a	n/a	n/a
T02	18.90132746	8.634310754	10.33171	2.010619298	R	n/a	n/a	n/a
T03	17.784431	10.71950858	11.0735069	2.010619298	R	n/a	n/a	n/a
T04	16.10846305	12.27487333	11.80905582	2.010619298	R	n/a	n/a	n/a
T05	14.70178623	14.34231446	12.51157473	2.010619298	R	n/a	n/a	n/a
T06	19.31362187	4.73780733	11.23666767	2.010619298	R	n/a	n/a	n/a
T07	17.59625427	6.333469385	12.2594323	2.010619298	R	n/a	n/a	n/a
T08	15.87888668	7.929131441	13.28219693	2.010619298	R	n/a	n/a	n/a
T09	14.49269908	9.502252892	14.05702384	2.010619298	R	n/a	n/a	n/a
T10	12.77533149	11.09791495	15.07978847	2.010619298	R	n/a	n/a	n/a
